image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709398.jpeg,27.IV.2022,0.542331009,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.607684147
1705937.jpeg,18.7 1965,0.298742043,V.Sjælland Røsnæs Kongstrup Kl,0.138626857
1705822.jpeg,MISSING,0.930885117,Øbjerggaard,0.597881176
1742998.jpeg,21-5-1956,0.416971810,JægersprisNord skov,0.206059412
1728459.jpeg,MISSING,0.460936647,Kb,0.953164595
1707402.jpeg,4/5 70,0.027823583,Bekkeskov,0.022179448
1707293.jpeg,19.5.1931,0.767502273,Sondrup,0.594316460
1744483.jpeg,MISSING,0.342706881,Øbjerggaard,0.407168839
1708366.jpeg,9-5-1914,0.120506214,Vamdrup,0.799881782
1705671.jpeg,MISSING,0.953758715,Veilø Bugt,0.345974538
1706305.jpeg,10-6.1957,0.099414974,Ratholme Jyll.,0.124070931
1705435.jpeg,27.5.22,0.986732343,Søllerød,0.827805396
1744708.jpeg,16.6.1984,0.320130343,Svinø strand,0.566689906
1707266.jpeg,23.7.1998,0.772255229,Dyrehaven,0.653134283
1707732.jpeg,MISSING,0.706605032,MISSING,0.495692634
1706407.jpeg,MISSING,0.849787814,Dronninglund,0.222991816
1707492.jpeg,21-6-1908,0.122882692,Tidsvilde,0.745816914
1706769.jpeg,15/8 1945,0.835528948,Gurre,0.281215520
1706988.jpeg,MISSING,0.805822977,Lolland,0.866126099
1707847.jpeg,6/6 92,0.080106093,Jægerspris,0.611842983
1706811.jpeg,15/8 1968,0.830181873,Jylland Ringkøbing: Vedersø Klit,0.204277054
1705914.jpeg,30-6-1912,0.919893907,Sandbjerg,0.768987572
1708046.jpeg,22/5 1928,0.062579570,Jægersborg Hegn,0.102682631
1706310.jpeg,1883,0.135359200,Nykøbing,0.105950288
1709011.jpeg,MISSING,0.588375265,Lolland,0.853352531
1709933.jpeg,9.4.1884,0.049508942,N. f. Sæby,0.244380115
1743557.jpeg,MISSING,0.396474689,Falster,0.804337678
1743005.jpeg,14.6.1990,0.415189451,Hammershus,0.359936344
1705495.jpeg,MISSING,0.979899970,MISSING,0.167441649
1708876.jpeg,26-10.1972,0.244380115,Marselisborg Dyreh,0.228933010
1706389.jpeg,1.7.2000,0.852758412,Lodskovvad,0.584810549
1706354.jpeg,MISSING,0.856917248,Ti,0.986732343
1708730.jpeg,24.9.1884,0.248241891,Randers,0.690563807
1728563.jpeg,MISSING,0.076541376,60f.,0.010594119
1705652.jpeg,7/1883,0.028120643,Vojens,0.914843892
1707536.jpeg,MISSING,0.734528645,MISSING,0.501633828
1707973.jpeg,Juni 1820,0.673037284,Sielland,0.814437708
1708746.jpeg,MISSING,0.628775386,Veile | Ve,0.367065778
1707717.jpeg,25-5-1914,0.708387390,Vamdrup,0.610060624
1742786.jpeg,MISSING,0.425883601,MISSING,0.437468930
1707615.jpeg,20.7.1929,0.190612307,Gml. Skagen,0.210515308
1706774.jpeg,18-6-1908,0.834637769,Tidsvilde,0.795128827
1708478.jpeg,MISSING,0.642737193,MISSING,0.483216126
1707621.jpeg,19.5.29,0.722349197,Faarhus,0.075056078
1708973.jpeg,7/9.1870,0.241706578,Hammeren Bornholm | Bo,0.296365565
1743757.jpeg,7/7 1930,0.053370718,Langø,0.063470749
1706130.jpeg,MISSING,0.887514398,Ti,0.988217642
1709922.jpeg,MISSING,0.484998484,Boserup,0.886920279
1709338.jpeg,19-9-1953,0.060797211,Dyrehaven,0.784137617
1707433.jpeg,29/5-19,0.745519855,Str. n. f. Røn.,0.242300697
1744572.jpeg,MISSING,0.124070931,Kb,0.943064565
1743797.jpeg,3/5-1942,0.376868748,Tisvilde Hegn ved Asserbo,0.187344650
1709425.jpeg,27.IV.2022,0.535201576,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.621348894
1705902.jpeg,2/6 1929. | 2/6 29,0.111000303,Kirkeby Svendborg Amt,0.086641406
1744537.jpeg,MISSING,0.124665050,SS,0.948411640
1709220.jpeg,28.9.1913,0.566095787,Dyrehaven,0.550945741
1708731.jpeg,24. 9. 1884,0.630854804,Randers,0.855729009
1743586.jpeg,MISSING,0.126150349,MISSING,0.331121552
1707808.jpeg,MISSING,0.132388603,Tl,0.026338284
1708004.jpeg,MISSING,0.131497423,Lolland,0.856620188
1707490.jpeg,30-6-1912 | 1829,0.026338284,Sandbjerg,0.746113974
1743925.jpeg,19.4.1973,0.356965747,Østjylland Klattrup syd f. Vejle,0.184968172
1707457.jpeg,10-5-50.,0.740469839,Dyrehaven,0.748193392
1705691.jpeg,MISSING,0.137735677,Bo,0.977523492
1709406.jpeg,27.IV.2022,0.539954532,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.624022431
1708473.jpeg,MISSING,0.131200364,MISSING,0.334686269
1707979.jpeg,MISSING,0.131794483,Kb,0.968017581
1707115.jpeg,27.7.1918,0.790672931,Dyrehaven,0.552133980
1706764.jpeg,18/8 1930.,0.836123068,"Jyll., Fellsted",0.054261898
1707247.jpeg,MISSING,0.135062140,MISSING,0.337062746
1744538.jpeg,MISSING,0.124367990,SS,0.916329191
1743973.jpeg,MISSING,0.125259169,MISSING,0.330230373
1708429.jpeg,21.X. 1976,0.650757805,"Sjælland Røsnæs, Kongstrup",0.192988784
1707676.jpeg,MISSING,0.132982722,MISSING,0.335874507
1706789.jpeg,26.6.1943,0.831964232,Vaserne Furesøen,0.294286147
1708764.jpeg,MISSING,0.625507730,MISSING,0.477869051
1706420.jpeg,17/6.1871,0.848302516,Dronninglund.,0.098226735
1743870.jpeg,29-7-49.,0.364095180,Asserbo,0.839390724
1710350.jpeg,26-8-1956,0.472819036,Nekselø S.,0.669175508
1706089.jpeg,MISSING,0.895535011,Veilø Bugt,0.358153986
1709876.jpeg,12/7.1870,0.145756290,Ørholm,0.899990906
1705615.jpeg,23-6-1961,0.963264626,"MidtJylland Galgehøj, Hjarbæk",0.198335859
1707975.jpeg,MISSING,0.672443165,MISSING,0.489454380
1710338.jpeg,23-6-1961,0.475789633,"MidtJylland Galgehøj, Hjarbæk",0.189127008
1708424.jpeg,10.9.1970,0.651946044,Læsø,0.893752652
1709166.jpeg,MISSING,0.572631100,MISSING,0.458560170
1728573.jpeg,MISSING,0.445192483,MISSING,0.438954229
1728514.jpeg,28/5 1916,0.452024856,Dragør,0.899396787
1707465.jpeg,18.5.34.,0.153182783,Herlev,0.913061534
1707636.jpeg,6/1871,0.263986056,Vendsyssel,0.121694453
1743864.jpeg,12-5-1907,0.365580479,Donse,0.923755684
1743768.jpeg,10/8 1930.,0.209030009,"Jyll., Holmsld",0.282403759
1708445.jpeg,23.10.1971,0.647787208,"N-JYLLAND SKAGEN, STRANDKANT",0.043864808
1706086.jpeg,3/6.1870,0.896129130,Rørvig,0.018317672
1706783.jpeg,26.6.1943,0.833152470,Vaserne Furesøen,0.299633222
1743763.jpeg,9/8 1930.,0.209327069,"Jyll., Sdr. Bork.",0.200118218
1706254.jpeg,23.6.1973,0.870284935,FEDDET PRÆSTØ | DANMARK,0.345083359
1705871.jpeg,27/6 1938,0.054856017,Skallingen,0.683731434
1707451.jpeg,21-5-49.,0.742252198,Eremitagen,0.678087299
1705454.jpeg,MISSING,0.984652925,Veilø Bugt,0.414595332
1707537.jpeg,MISSING,0.734231585,MISSING,0.501336769
1705563.jpeg,30-6 1912 | 1802,0.026041225,Sandbjerg,0.415189451
1706049.jpeg,2.8.1925,0.901179145,Borum Bæk,0.365580479
1709823.jpeg,25.6.32,0.226259473,Kandestederne,0.045944226
1708734.jpeg,24.9.1884,0.141894513,Randers,0.855134889
1708003.jpeg,MISSING,0.666799030,Lolland,0.856917248
1728528.jpeg,7/6-1941,0.451430737,Saltholm,0.810278872
1744687.jpeg,10-5-1956,0.323100940,Kongelunden,0.618675356
1744704.jpeg,19-6-1954,0.321318581,Dragsholm Str.,0.227447711
1706523.jpeg,MISSING,0.837311306,MISSING,0.516189754
1709066.jpeg,11/9 1935 | 11/9 35,0.179026978,Thurø Svendborg Amt | Tø,0.316268566
1706771.jpeg,19-7-1908,0.835231888,Rungsted,0.700960897
1744574.jpeg,MISSING,0.333795089,Kb,0.942470446
1709380.jpeg,23-10-1955,0.545895726,Dyrehaven,0.721458018
1744640.jpeg,7.5.33,0.200415277,Frederiksdal p. Harpelunde,0.087532586
1706255.jpeg,24.6.1975,0.869987875,GRØNNINGEN FANØ | DANMARK,0.326962716
1718184.jpeg,MISSING,0.462719006,Dyrehaven,0.778196423
1708907.jpeg,22.8.1915,0.602040012,Horsens,0.643925432
1707053.jpeg,21-5-49,0.797208245,Eremitagen,0.679572598
1705779.jpeg,22.5.1984,0.936529251,Bøtø plt.,0.296662625
1708927.jpeg,22.8.25,0.042379509,Thorsager,0.547678084
1706870.jpeg,22.6.72,0.153776902,Liseleje vest,0.033467717
1709118.jpeg,11.10.31,0.577978175,Eremitagen,0.558669294
1709091.jpeg,11-9-1910,0.579760533,Dyrehaven,0.734528645
1708777.jpeg,MISSING,0.623131252,MISSING,0.475195514
1709146.jpeg,26.8.87,0.575601697,Harboør,0.647490149
1708026.jpeg,12/10.1908,0.664125493,Kjeldskov,0.685810852
1709441.jpeg,24.9. 1922,0.532230979,Holte,0.921676266
1705800.jpeg,4.6.19,0.934746893,Thorsager,0.798099424
1706034.jpeg,20.VII.2021,0.903258563,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.629666566
1706235.jpeg,30.5 1964,0.191800546,V.Sjælland Røsnæs Kongstrup Kl,0.204574113
1742741.jpeg,MISSING,0.434795393,Dyrehaven,0.317159745
1708745.jpeg,10/1872,0.120209154,Veile,0.597584116
1728531.jpeg,24-9-60.,0.450539557,Eremitagen,0.667096090
1709116.jpeg,14-9-58.,0.578275235,Dyrehaven,0.733934526
1709109.jpeg,6-9-49.,0.238438921,Sønderskov. Høvelte,0.226259473
1706458.jpeg,14/6.1871.,0.284483177,Jydske As,0.089612004
1705766.jpeg,23-5-1915,0.171897545,Skagen,0.909199758
1743555.jpeg,MISSING,0.397068809,MISSING,0.432121855
1709580.jpeg,MISSING,0.510545620,MISSING,0.449648378
1706114.jpeg,MISSING,0.890484995,MISSING,0.166550470
1707924.jpeg,5.7.1905,0.055450136,Øreborg,0.044458927
1709072.jpeg,8/9.1895 | 20/8,0.022773568,Dyrehaven,0.735122764
1707486.jpeg,25-5-1914 | 1829,0.025150045,Vamdrup,0.860481964
1707889.jpeg,30.3.1975.,0.685513792,Harrild hede,0.573522279
1709874.jpeg,12/7.1870,0.493613216,Ørholm,0.900287966
1707582.jpeg,16-VII-1978,0.064361928,GL.-Rye JØ,0.368551076
1707714.jpeg,MISSING,0.708684450,MISSING,0.496583813
1709926.jpeg,MISSING,0.070303122,Røgbølle,0.035844195
1707439.jpeg,9/5-20.,0.744034556,Børstinge Mose,0.372709912
1709114.jpeg,27-9-58.,0.578572295,Eremitagen,0.671849045
1707238.jpeg,MISSING,0.779087602,MISSING,0.508169142
