image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709398.jpeg,27.IV.2022,0.443707184,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.216753562
1705937.jpeg,18.7 1965,0.298742043,V.Sjælland Røsnæs Kongstrup Kl,0.154668081
1705822.jpeg,MISSING,0.964155805,Øbjerggaard,0.622537132
1742998.jpeg,21-5-1956,0.376868748,JægersprisNord skov,0.251806608
1728459.jpeg,MISSING,0.772552289,Kb,0.953164595
1707402.jpeg,4/5 70,0.027823583,Bekkeskov,0.022179448
1707293.jpeg,19.5.1931,0.568769324,Sondrup,0.619269476
1744483.jpeg,MISSING,0.723834495,Øbjerggaard,0.443410124
1708366.jpeg,9-5-1914,0.120506214,Vamdrup,0.802555320
1705671.jpeg,MISSING,0.976335253,Veilø Bugt,0.383701122
1706305.jpeg,10-6.1957,0.099414974,Ratholme Jyll.,0.133873901
1705435.jpeg,27.5.22,0.702149136,Søllerød,0.830181873
1744708.jpeg,16.6.1984,0.316862686,Svinø strand,0.594019400
1707266.jpeg,23.7.1998,0.573522279,Dyrehaven,0.661451955
1707732.jpeg,MISSING,0.873849651,MISSING,0.531042740
1706407.jpeg,MISSING,0.935043953,Dronninglund,0.269036072
1707492.jpeg,21-6-1908,0.122882692,Tidsvilde,0.749975750
1706769.jpeg,15/8 1945,0.613031222,Gurre,0.325774477
1706988.jpeg,MISSING,0.920785086,Lolland,0.867017278
1707847.jpeg,6/6 92,0.077729615,Jægerspris,0.632043043
1706811.jpeg,15/8 1968,0.607684147,Jylland Ringkøbing: Vedersø Klit,0.250024250
1705914.jpeg,30-6-1912,0.665907851,Sandbjerg,0.773146408
1708046.jpeg,22/5 1928,0.062579570,Jægersborg Hegn,0.104464989
1706310.jpeg,1883,0.126744468,Nykøbing,0.108326766
1709011.jpeg,MISSING,0.818596544,Lolland,0.855431949
1709933.jpeg,9.4.1884,0.049508942,N. f. Sæby,0.290721431
1743557.jpeg,MISSING,0.737796302,Falster,0.807011216
1743005.jpeg,14.6.1990,0.375086390,Hammershus,0.397662928
1705495.jpeg,MISSING,0.986435283,MISSING,0.187344650
1708876.jpeg,26-10.1972,0.244380115,Marselisborg Dyreh,0.275274326
1706389.jpeg,1.7.2000,0.623131252,Lodskovvad,0.610357684
1706354.jpeg,MISSING,0.939202789,Ti,0.986732343
1708730.jpeg,24.9.1884,0.248241891,Randers,0.698584420
1728563.jpeg,MISSING,0.084561988,60f.,0.010594119
1705652.jpeg,7/1883,0.028120643,Vojens,0.914843892
1707536.jpeg,MISSING,0.889593816,MISSING,0.536983935
1707973.jpeg,Juni 1820,0.522428008,Sielland,0.817111246
1708746.jpeg,MISSING,0.841173083,Veile | Ve,0.291612610
1707717.jpeg,25-5-1914,0.539360412,Vamdrup,0.630260685
1742786.jpeg,MISSING,0.750569870,MISSING,0.473116096
1707615.jpeg,20.7.1929,0.179918157,Gml. Skagen,0.255965444
1706774.jpeg,18-6-1908,0.612140042,Tidsvilde,0.797802364
1708478.jpeg,MISSING,0.845926038,MISSING,0.518566232
1707621.jpeg,19.5.29,0.540548651,Faarhus,0.075947257
1708973.jpeg,7/9.1870,0.241706578,Hammeren Bornholm | Bo,0.132091543
1743757.jpeg,7/7 1930,0.053370718,Langø,0.064064868
1706130.jpeg,MISSING,0.951976356,Ti,0.988217642
1709922.jpeg,MISSING,0.775819945,Boserup,0.887514398
1709338.jpeg,19-9-1953,0.060797211,Dyrehaven,0.786811155
1707433.jpeg,29/5-19,0.561342831,Str. n. f. Røn.,0.288642013
1744572.jpeg,MISSING,0.186453471,Kb,0.943064565
1743797.jpeg,3/5-1942,0.354589269,Tisvilde Hegn ved Asserbo,0.222991816
1709425.jpeg,27.IV.2022,0.436577751,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.228041831
1705902.jpeg,2/6 1929. | 2/6 29,0.111000303,Kirkeby Svendborg Amt,0.087235526
1744537.jpeg,MISSING,0.187047590,SS,0.948411640
1709220.jpeg,28.9.1913,0.460342528,Dyrehaven,0.585998788
1708731.jpeg,24. 9. 1884,0.494801455,Randers,0.857808427
1743586.jpeg,MISSING,0.187938769,MISSING,0.369442255
1707808.jpeg,MISSING,0.193285844,Tl,0.027229463
1708004.jpeg,MISSING,0.192394665,Lolland,0.858699606
1707490.jpeg,30-6-1912 | 1829,0.026338284,Sandbjerg,0.750272810
1743925.jpeg,19.4.1973,0.334686269,Østjylland Klattrup syd f. Vejle,0.220615338
1707457.jpeg,10-5-50.,0.556292816,Dyrehaven,0.752352228
1705691.jpeg,MISSING,0.196850561,Bo,0.977523492
1709406.jpeg,27.IV.2022,0.441330706,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.230715368
1708473.jpeg,MISSING,0.192097605,MISSING,0.373006972
1707979.jpeg,MISSING,0.192691725,Kb,0.968017581
1707115.jpeg,27.7.1918,0.580651713,Dyrehaven,0.587187026
1706764.jpeg,18/8 1930.,0.613625341,"Jyll., Fellsted",0.054558957
1707247.jpeg,MISSING,0.194771143,MISSING,0.375086390
1744538.jpeg,MISSING,0.186750530,SS,0.916329191
1743973.jpeg,MISSING,0.187344650,MISSING,0.368551076
1708429.jpeg,21.X. 1976,0.506386784,"Sjælland Røsnæs, Kongstrup",0.234577145
1707676.jpeg,MISSING,0.193582904,MISSING,0.373898151
1706789.jpeg,26.6.1943,0.609466505,Vaserne Furesøen,0.338250985
1708764.jpeg,MISSING,0.838202486,MISSING,0.513219157
1706420.jpeg,17/6.1871,0.618972416,Dronninglund.,0.099414974
1743870.jpeg,29-7-49.,0.341815702,Asserbo,0.841470142
1710350.jpeg,26-8-1956,0.403901182,Nekselø S.,0.677196120
1706089.jpeg,MISSING,0.958511670,Veilø Bugt,0.395880570
1709876.jpeg,12/7.1870,0.135062140,Ørholm,0.899990906
1705615.jpeg,23-6-1961,0.691157927,"MidtJylland Galgehøj, Hjarbæk",0.242003637
1707975.jpeg,MISSING,0.855729009,MISSING,0.524804486
1710338.jpeg,23-6-1961,0.406871779,"MidtJylland Galgehøj, Hjarbæk",0.225665353
1708424.jpeg,10.9.1970,0.507575023,Læsø,0.893752652
1709166.jpeg,MISSING,0.812952410,MISSING,0.493910276
1728573.jpeg,MISSING,0.763640497,MISSING,0.474601394
1728514.jpeg,28/5 1916,0.391127614,Dragør,0.899396787
1707465.jpeg,18.5.34.,0.142488633,Herlev,0.913061534
1707636.jpeg,6/1871,0.263986056,Vendsyssel,0.130012125
1743864.jpeg,12-5-1907,0.343301000,Donse,0.923755684
1743768.jpeg,10/8 1930.,0.209030009,"Jyll., Holmsld",0.326962716
1708445.jpeg,23.10.1971,0.503416187,"N-JYLLAND SKAGEN, STRANDKANT",0.043864808
1706086.jpeg,3/6.1870,0.642737193,Rørvig,0.018317672
1706783.jpeg,26.6.1943,0.610654744,Vaserne Furesøen,0.342706881
1743763.jpeg,9/8 1930.,0.209327069,"Jyll., Sdr. Bork.",0.244083055
1706254.jpeg,23.6.1973,0.631448924,FEDDET PRÆSTØ | DANMARK,0.154073962
1705871.jpeg,27/6 1938,0.054856017,Skallingen,0.691752046
1707451.jpeg,21-5-49.,0.558075174,Eremitagen,0.686107911
1705454.jpeg,MISSING,0.989702940,Veilø Bugt,0.450836617
1707537.jpeg,MISSING,0.889296757,MISSING,0.536686875
1705563.jpeg,30-6 1912 | 1802,0.026041225,Sandbjerg,0.451430737
1706049.jpeg,2.8.1925,0.647787208,Borum Bæk,0.403604122
1709823.jpeg,25.6.32,0.226259473,Kandestederne,0.045944226
1708734.jpeg,24.9.1884,0.131200364,Randers,0.857214307
1708003.jpeg,MISSING,0.851570173,Lolland,0.858996666
1728528.jpeg,7/6-1941,0.390533495,Saltholm,0.812952410
1744687.jpeg,10-5-1956,0.319833283,Kongelunden,0.638281297
1744704.jpeg,19-6-1954,0.318050925,Dragsholm Str.,0.273789027
1706523.jpeg,MISSING,0.928211579,MISSING,0.551539861
1709066.jpeg,11/9 1935 | 11/9 35,0.168332828,Thurø Svendborg Amt | Tø,0.140409215
1706771.jpeg,19-7-1908,0.612734162,Rungsted,0.707496211
1744574.jpeg,MISSING,0.715516823,Kb,0.942470446
1709380.jpeg,23-10-1955,0.447271901,Dyrehaven,0.725616854
1744640.jpeg,7.5.33,0.200415277,Frederiksdal p. Harpelunde,0.088423765
1706255.jpeg,24.6.1975,0.631151864,GRØNNINGEN FANØ | DANMARK,0.148132768
1718184.jpeg,MISSING,0.774334647,Dyrehaven,0.780869961
1708907.jpeg,22.8.1915,0.479354350,Horsens,0.652837223
1707053.jpeg,21-5-49,0.585701728,Eremitagen,0.687593210
1705779.jpeg,22.5.1984,0.674522583,Bøtø plt.,0.340033343
1708927.jpeg,22.8.25,0.042379509,Thorsager,0.582731131
1706870.jpeg,22.6.72,0.143082752,Liseleje vest,0.033467717
1709118.jpeg,11.10.31,0.468066081,Eremitagen,0.591048803
1709091.jpeg,11-9-1910,0.469848439,Dyrehaven,0.738687481
1708777.jpeg,MISSING,0.835826008,MISSING,0.510545620
