image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709398.jpeg,27.IV.2022,0.542331009,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.183779933
1705937.jpeg,18.7 1965,0.298742043,V.Sjælland Røsnæs Kongstrup Kl,0.149321006
1705822.jpeg,MISSING,0.930885117,Øbjerggaard,0.481433768
1742998.jpeg,21-5-1956,0.416971810,JægersprisNord skov,0.226556532
1728459.jpeg,MISSING,0.460936647,Kb,0.953164595
1707402.jpeg,4/5 70,0.027823583,Bekkeskov,0.022476508
1707293.jpeg,19.5.1931,0.767502273,Sondrup,0.515298575
1744483.jpeg,MISSING,0.342706881,Øbjerggaard,0.425586541
1708366.jpeg,9-5-1914,0.120506214,Vamdrup,0.800475902
1705671.jpeg,MISSING,0.953758715,Veilø Bugt,0.383998181
1706305.jpeg,10-6.1957,0.099414974,Ratholme Jyll.,0.152291604
1705435.jpeg,27.5.22,0.986732343,Søllerød,0.827805396
1744708.jpeg,16.6.1984,0.320130343,Svinø strand,0.445192483
1707266.jpeg,23.7.1998,0.772255229,Dyrehaven,0.556886935
1707732.jpeg,MISSING,0.706605032,MISSING,0.633528342
1706407.jpeg,MISSING,0.849787814,Dronninglund,0.266362534
1707492.jpeg,21-6-1908,0.122882692,Tidsvilde,0.737796302
1706769.jpeg,15/8 1945,0.835528948,Gurre,0.358153986
1706988.jpeg,MISSING,0.805822977,Lolland,0.860184905
1707847.jpeg,6/6 92,0.080106093,Jægerspris,0.498960291
1706811.jpeg,15/8 1968,0.830181873,Jylland Ringkøbing: Vedersø Klit,0.216159442
1705914.jpeg,30-6-1912,0.919893907,Sandbjerg,0.760372840
1708046.jpeg,22/5 1928,0.062579570,Jægersborg Hegn,0.105059109
1706310.jpeg,1883,0.135359200,Nykøbing,0.109812064
1709011.jpeg,MISSING,0.588375265,Lolland,0.848599576
1709933.jpeg,9.4.1884,0.049508942,N. f. Sæby,0.300227342
1743557.jpeg,MISSING,0.396474689,Falster,0.822458321
1743005.jpeg,14.6.1990,0.415189451,Hammershus,0.394098212
1705495.jpeg,MISSING,0.979899970,MISSING,0.282106699
1708876.jpeg,26-10.1972,0.244380115,Marselisborg Dyreh,0.249133071
1706389.jpeg,1.7.2000,0.852758412,Lodskovvad,0.480245529
1706354.jpeg,MISSING,0.856917248,Ti,0.986732343
1708730.jpeg,24.9.1884,0.248241891,Randers,0.697693240
1728563.jpeg,MISSING,0.076541376,60f.,0.010891179
1705652.jpeg,7/1883,0.028120643,Vojens,0.914843892
1707536.jpeg,MISSING,0.734528645,MISSING,0.639469536
1707973.jpeg,Juni 1820,0.673037284,Sielland,0.813546529
1708746.jpeg,MISSING,0.628775386,Veile | Ve,0.301415580
1707717.jpeg,25-5-1914,0.708387390,Vamdrup,0.528072143
1742786.jpeg,MISSING,0.425883601,MISSING,0.575898757
1707615.jpeg,20.7.1929,0.190612307,Gml. Skagen,0.257747802
1706774.jpeg,18-6-1908,0.834637769,Tidsvilde,0.790969991
1708478.jpeg,MISSING,0.642737193,MISSING,0.621051834
1707621.jpeg,19.5.29,0.722349197,Faarhus,0.077135496
1708973.jpeg,7/9.1870,0.241706578,Hammeren Bornholm | Bo,0.129418005
1743757.jpeg,7/7 1930,0.053370718,Langø,0.064956047
1706130.jpeg,MISSING,0.887514398,Ti,0.988217642
1709922.jpeg,MISSING,0.484998484,Boserup,0.876226129
1709338.jpeg,19-9-1953,0.060797211,Dyrehaven,0.779384662
1707433.jpeg,29/5-19,0.745519855,Str. n. f. Røn.,0.268441952
1744572.jpeg,MISSING,0.124070931,Kb,0.943064565
1743797.jpeg,3/5-1942,0.376868748,Tisvilde Hegn ved Asserbo,0.190018187
1709425.jpeg,27.IV.2022,0.535201576,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.195068202
1705902.jpeg,2/6 1929. | 2/6 29,0.111000303,Kirkeby Svendborg Amt,0.084264929
1744537.jpeg,MISSING,0.124665050,SS,0.948411640
1709220.jpeg,28.9.1913,0.566095787,Dyrehaven,0.469848439
1708731.jpeg,24. 9. 1884,0.630854804,Randers,0.850976053
1743586.jpeg,MISSING,0.126150349,MISSING,0.437171870
1707808.jpeg,MISSING,0.132388603,Tl,0.027526523
1708004.jpeg,MISSING,0.131497423,Lolland,0.851867232
1707490.jpeg,30-6-1912 | 1829,0.026338284,Sandbjerg,0.738093362
1743925.jpeg,19.4.1973,0.356965747,Østjylland Klattrup syd f. Vejle,0.187641710
1707457.jpeg,10-5-50.,0.740469839,Dyrehaven,0.740172780
1705691.jpeg,MISSING,0.137735677,Bo,0.977523492
1709406.jpeg,27.IV.2022,0.539954532,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.197741740
1708473.jpeg,MISSING,0.131200364,MISSING,0.440736587
1707979.jpeg,MISSING,0.131794483,Kb,0.968017581
1707115.jpeg,27.7.1918,0.790672931,Dyrehaven,0.471036678
1706764.jpeg,18/8 1930.,0.836123068,"Jyll., Fellsted",0.054558957
1707247.jpeg,MISSING,0.135062140,MISSING,0.442518945
1744538.jpeg,MISSING,0.124367990,SS,0.919596848
1743973.jpeg,MISSING,0.125259169,MISSING,0.436280691
1708429.jpeg,21.X. 1976,0.650757805,"Sjælland Røsnæs, Kongstrup",0.201603516
1707676.jpeg,MISSING,0.132982722,MISSING,0.441330706
1706789.jpeg,26.6.1943,0.831964232,Vaserne Furesøen,0.314189148
1708764.jpeg,MISSING,0.625507730,MISSING,0.615704759
1706420.jpeg,17/6.1871,0.848302516,Dronninglund.,0.100306153
1743870.jpeg,29-7-49.,0.364095180,Asserbo,0.834637769
1710350.jpeg,26-8-1956,0.472819036,Nekselø S.,0.538172173
1706089.jpeg,MISSING,0.895535011,Veilø Bugt,0.391127614
1709876.jpeg,12/7.1870,0.145756290,Ørholm,0.895535011
1705615.jpeg,23-6-1961,0.963264626,"MidtJylland Galgehøj, Hjarbæk",0.209327069
1707975.jpeg,MISSING,0.672443165,MISSING,0.627290088
1710338.jpeg,23-6-1961,0.475789633,"MidtJylland Galgehøj, Hjarbæk",0.192691725
1708424.jpeg,10.9.1970,0.651946044,Læsø,0.910982116
1709166.jpeg,MISSING,0.572631100,MISSING,0.596692937
1728573.jpeg,MISSING,0.445192483,MISSING,0.577384056
1728514.jpeg,28/5 1916,0.452024856,Dragør,0.894940891
1707465.jpeg,18.5.34.,0.153182783,Herlev,0.913061534
1707636.jpeg,6/1871,0.263986056,Vendsyssel,0.154371022
1743864.jpeg,12-5-1907,0.365580479,Donse,0.921676266
1743768.jpeg,10/8 1930.,0.209030009,"Jyll., Holmsld",0.322803880
1708445.jpeg,23.10.1971,0.647787208,"N-JYLLAND SKAGEN, STRANDKANT",0.043864808
1706086.jpeg,3/6.1870,0.896129130,Rørvig,0.018317672
1706783.jpeg,26.6.1943,0.833152470,Vaserne Furesøen,0.322506820
1743763.jpeg,9/8 1930.,0.209327069,"Jyll., Sdr. Bork.",0.227744771
1706254.jpeg,23.6.1973,0.870284935,FEDDET PRÆSTØ | DANMARK,0.148726887
1705871.jpeg,27/6 1938,0.054856017,Skallingen,0.552728099
1707451.jpeg,21-5-49.,0.742252198,Eremitagen,0.547083965
1705454.jpeg,MISSING,0.984652925,Veilø Bugt,0.433607154
1707537.jpeg,MISSING,0.734231585,MISSING,0.639172477
1705563.jpeg,30-6 1912 | 1802,0.026041225,Sandbjerg,0.444895423
1706049.jpeg,2.8.1925,0.901179145,Borum Bæk,0.406277660
1709823.jpeg,25.6.32,0.226259473,Kandestederne,0.045647166
1708734.jpeg,24.9.1884,0.141894513,Randers,0.850381934
1708003.jpeg,MISSING,0.666799030,Lolland,0.852164292
1728528.jpeg,7/6-1941,0.451430737,Saltholm,0.809387693
1744687.jpeg,10-5-1956,0.323100940,Kongelunden,0.490048500
1744704.jpeg,19-6-1954,0.321318581,Dragsholm Str.,0.261609579
1706523.jpeg,MISSING,0.837311306,MISSING,0.654025462
1709066.jpeg,11/9 1935 | 11/9 35,0.179026978,Thurø Svendborg Amt | Tø,0.136844498
1706771.jpeg,19-7-1908,0.835231888,Rungsted,0.701852076
1744574.jpeg,MISSING,0.333795089,Kb,0.942470446
1709380.jpeg,23-10-1955,0.545895726,Dyrehaven,0.714031525
1744640.jpeg,7.5.33,0.200415277,Frederiksdal p. Harpelunde,0.086047287
1706255.jpeg,24.6.1975,0.869987875,GRØNNINGEN FANØ | DANMARK,0.143676872
1718184.jpeg,MISSING,0.462719006,Dyrehaven,0.773443468
1708907.jpeg,22.8.1915,0.602040012,Horsens,0.680166717
1707053.jpeg,21-5-49,0.797208245,Eremitagen,0.548569263
1705779.jpeg,22.5.1984,0.936529251,Bøtø plt.,0.349242195
1708927.jpeg,22.8.25,0.042379509,Thorsager,0.466877842
1706870.jpeg,22.6.72,0.153776902,Liseleje vest,0.033170658
1709118.jpeg,11.10.31,0.577978175,Eremitagen,0.462719006
1709091.jpeg,11-9-1910,0.579760533,Dyrehaven,0.727102152
1708777.jpeg,MISSING,0.623131252,MISSING,0.613031222
1709146.jpeg,26.8.87,0.575601697,Harboør,0.682246135
1708026.jpeg,12/10.1908,0.664125493,Kjeldskov,0.685513792
1709441.jpeg,24.9. 1922,0.532230979,Holte,0.917814489
1705800.jpeg,4.6.19,0.934746893,Thorsager,0.793940588
1706034.jpeg,20.VII.2021,0.903258563,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.207544711
1706235.jpeg,30.5 1964,0.191800546,V.Sjælland Røsnæs Kongstrup Kl,0.216456502
1742741.jpeg,MISSING,0.434795393,Dyrehaven,0.366174598
1708745.jpeg,10/1872,0.120209154,Veile,0.530151561
1728531.jpeg,24-9-60.,0.450539557,Eremitagen,0.536092755
1709116.jpeg,14-9-58.,0.578275235,Dyrehaven,0.726508033
1709109.jpeg,6-9-49.,0.238438921,Sønderskov. Høvelte,0.242003637
1706458.jpeg,14/6.1871.,0.284483177,Jydske As,0.090800242
1705766.jpeg,23-5-1915,0.171897545,Skagen,0.906526220
1743555.jpeg,MISSING,0.397068809,MISSING,0.570551682
1709580.jpeg,MISSING,0.510545620,MISSING,0.588078206
1706114.jpeg,MISSING,0.890484995,MISSING,0.281215520
1707924.jpeg,5.7.1905,0.055450136,Øreborg,0.044755987
1709072.jpeg,8/9.1895 | 20/8,0.022773568,Dyrehaven,0.727696272
1707486.jpeg,25-5-1914 | 1829,0.025150045,Vamdrup,0.855134889
1707889.jpeg,30.3.1975.,0.685513792,Harrild hede,0.451727796
1709874.jpeg,12/7.1870,0.493613216,Ørholm,0.895832070
1707582.jpeg,16-VII-1978,0.064361928,GL.-Rye JØ,0.405386481
1707714.jpeg,MISSING,0.708684450,MISSING,0.634419521
1709926.jpeg,MISSING,0.070303122,Røgbølle,0.035844195
1707439.jpeg,9/5-20.,0.744034556,Børstinge Mose,0.381027584
1709114.jpeg,27-9-58.,0.578572295,Eremitagen,0.540845711
1707238.jpeg,MISSING,0.779087602,MISSING,0.646004850
1706792.jpeg,27-8-1911 | 1855-,0.025744165,Asminderød,0.500445590
1743943.jpeg,d. 12 VIII 1972,0.176056381,Jæ.Dyrehave Sj.,0.107732646
1707707.jpeg,21/6 83,0.158826917,Esbjerg,0.228338891
1705522.jpeg,30.5.96,0.310327372,Tandskov,0.247350712
1707526.jpeg,1/6 86.,0.037032434,Harboør,0.346865717
1705413.jpeg,14.6.1898,0.990000000,Tisvilde,0.821864201
1706208.jpeg,17-6-1924,0.051885420,Dyrehaven,0.558372234
1705701.jpeg,MISSING,0.949302819,SS,0.989108821
1707036.jpeg,1/6 1930,0.048617763,Dyrehaven,0.750569870
1707563.jpeg,21-6-1956,0.729181570,V.F. Høvblege Møn,0.161203395
1743881.jpeg,Aug 1934,0.204871173,Tange v. Ribe,0.061094271
1744529.jpeg,MISSING,0.341815702,Falster,0.834043650
1705885.jpeg,24/8-1941,0.923458624,Hampen,0.689969688
1706145.jpeg,3/6.1870.,0.883949682,Rønne | Bo,0.372709912
1706116.jpeg,MISSING,0.890187936,MISSING,0.280918460
1705503.jpeg,MISSING,0.978117611,MISSING,0.675413762
1743977.jpeg,19.9.75.,0.352509851,MISSING,0.564907548
1708836.jpeg,MISSING,0.613922401,MISSING,0.606198848
1705606.jpeg,MISSING,0.964452865,MISSING,0.671254926
1709278.jpeg,MISSING,0.561936951,Kb,0.963561685
1708753.jpeg,MISSING,0.627290088,Veile Bøije. | Ve,0.026338284
1728594.jpeg,9.V.1992,0.440736587,Høstemark NEJ,0.318645044
1707390.jpeg,MISSING,0.749381631,Boserup,0.339439224
1708681.jpeg,1.11.33.,0.639172477,Ingemannsvej Frederiksberg,0.135359200
1742745.jpeg,MISSING,0.433904213,Dyrehaven,0.771958169
1707538.jpeg,MISSING,0.733934526,MISSING,0.638875417
1709045.jpeg,MISSING,0.584810549,MISSING,0.601148833
1705870.jpeg,27/6 1984,0.059014853,Skallingen,0.553025159
1707310.jpeg,4. 5. 1938,0.765422855,Vesterris,0.467174901
1728490.jpeg,1. 6. 14,0.147241588,Silkeby,0.064658988
1709456.jpeg,15. 10. 1928.,0.531636860,Estrup Skov,0.351915732
1706854.jpeg,27/6 71,0.029605941,MISSING,0.653728403
1742818.jpeg,29/5. 1917,0.164768112,Vester Ulslev - Kjeldskov,0.147538648
1706272.jpeg,6/7 15,0.034655956,MISSING,0.659372537
1709245.jpeg,16/4.1870,0.234874204,Dyrehaven,0.780275841
1706077.jpeg,4. 5. 1938.,0.896723249,Vesterris,0.423210064
1707999.jpeg,MISSING,0.667690209,Danmark,0.853055471
1744646.jpeg,12.5-1957,0.326368597,Saltholm,0.804337678
1708955.jpeg,9/9.1872,0.157935738,Dyrehaven,0.782652319
1709778.jpeg,28.IX.1988,0.503713246,NEZ UB58 HARESKOV,0.101197333
1743753.jpeg,26/5 27,0.085156108,Gandløse Ore,0.151697484
1705644.jpeg,8.8.1936,0.958808730,Arnager,0.037626554
1709004.jpeg,16/4.1870,0.188829948,Dyrehaven,0.555104577
1708747.jpeg,MISSING,0.628478327,Ve,0.965938163
1705744.jpeg,28-6-53,0.941876326,Vestr. Sømark,0.304980297
1709463.jpeg,26. 9. 1931,0.530745681,Virklund,0.511733859
1705812.jpeg,MISSING,0.932964535,Dyrehaven,0.414298272
1744706.jpeg,27. 3. 1978.,0.320724462,Myrthue,0.481730828
1708425.jpeg,8-9-1970 | 8-9-1970 | 8-9-1970,0.028714762,Løsø | Løsø | Løsø,0.022773568
1705790.jpeg,25.6.1913,0.935638072,Ermelunden,0.414892392
1707569.jpeg,21-6-1956,0.727696272,V.f. Høvblege Møn,0.254480145
1709804.jpeg,1.5.1949,0.227150652,Jonstrup Sjæll.,0.149915126
1705545.jpeg,13/6 1929 | 13/6 29,0.109217945,"Engene, Svb. Svendborg Amt | E",0.085453168
1707993.jpeg,8/5.1870,0.668878448,Dyrehaven,0.374492270
1744705.jpeg,7.5.1977,0.321021522,Svinø strand,0.416971810
1705746.jpeg,8-7-60,0.941579266,Vstr. Sømark,0.429151258
1708819.jpeg,MISSING,0.618378296,MISSING,0.610357684
1708470.jpeg,MISSING,0.644222492,MISSING,0.622537132
1710374.jpeg,23.7-44,0.221209457,DANMARK | Stasevang,0.263391937
1707913.jpeg,13.6.1913,0.680463777,Ermelunden,0.427665959
1708697.jpeg,MISSING,0.636795999,MISSING,0.618972416
1743820.jpeg,16.6.1929,0.207247651,Lellinge skov,0.417565929
1744652.jpeg,11.5-1913,0.088720824,Avedøre,0.507575023
1710395.jpeg,7-5.1911,0.219724159,Dyreh.,0.364095180
1705861.jpeg,8.1900,0.087235526,Gelsskov,0.342409821
1705592.jpeg,2/6-19.,0.966235223,Hammeren,0.821270082
1705450.jpeg,29/5.1870,0.193879964,Dyrehaven,0.763937557
1709908.jpeg,MISSING,0.487672022,MISSING,0.584513489
1743035.jpeg,27.IV.2022,0.410436496,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.190612307
1705919.jpeg,24-7-61.,0.919299788,Jydelejet. Møn.,0.269036072
1708774.jpeg,94.9.,0.012376478,MISSING,0.613922401
1709899.jpeg,MISSING,0.489454380,Kb,0.980494089
1707475.jpeg,8-6-1914,0.738390421,Vamdrup,0.855729009
1709749.jpeg,MISSING,0.508763262,MISSING,0.587781146
1705672.jpeg,MISSING,0.953461655,Veilø Bugt,0.116644438
1707935.jpeg,15.10.21,0.676899060,Dyrehaven,0.733637466
1706778.jpeg,19-7-1908 | 1835,0.024852986,Rungsted,0.701555017
1709037.jpeg,9/9 72,0.240518339,Dyrh,0.876820249
1744586.jpeg,MISSING,0.331715671,MISSING,0.563125189
1709203.jpeg,22.9.1996,0.567581085,Dyrehaven,0.722052137
1706222.jpeg,12-6-43,0.875334950,Sandbjerg,0.754431646
1743595.jpeg,19.4.89,0.092879661,Odense,0.892267354
1705481.jpeg,7/1865.,0.981088209,Dyrehaven | Kb,0.298742043
1706148.jpeg,MISSING,0.883058503,Kb,0.987029403
1705656.jpeg,15.7.37.,0.956729312,Sose,0.880979085
1706464.jpeg,5/1871.,0.037626554,Jydske Aas Vendsyssel,0.124665050
1709188.jpeg,29-8-1952,0.570254623,Dyrehaven,0.724725674
1709562.jpeg,V. 00.,0.094959079,Saaby.,0.015644135
1707248.jpeg,MISSING,0.776711125,Dyrehaven,0.788296453
1709940.jpeg,9/9. 1901,0.222694756,Kjeldskov Vester Ulslev,0.083967869
1744692.jpeg,lo-5-1956,0.034061837,Kongelunden,0.368551076
1707943.jpeg,6/1870,0.152588663,Dyrehaven,0.733043346
1709892.jpeg,MISSING,0.490939679,Kb,0.981088209
1743578.jpeg,MISSING,0.392315853,Sielland,0.823349500
1705996.jpeg,23.7.44,0.909496817,Stasevang | DANMARK,0.264283116
1705424.jpeg,29.7.1928.,0.988514701,rg. Østenfjeld,0.137438618
1707805.jpeg,6/1862.,0.132685662,Ti | Kulhuset Jægerspris,0.185265232
1705436.jpeg,27.5.22,0.155262201,Søllerød,0.485592604
1728475.jpeg,MISSING,0.457074871,MISSING,0.580651713
1707282.jpeg,17.6.1924,0.768987572,Slotved Skov,0.464204304
1707953.jpeg,6/1870,0.102979691,Dyrehaven,0.785919976
1708824.jpeg,MISSING,0.616892998,MISSING,0.608872386
1742785.jpeg,MISSING,0.426180661,MISSING,0.576195817
1705942.jpeg,23-6-1961,0.915438012,Hjarbæk,0.525101546
1705860.jpeg,MISSING,0.925240982,MISSING,0.665313731
1742994.jpeg,13-7-1951,0.417565929,Dragstrup,0.706307972
1706220.jpeg,17-6-1922,0.875632010,Dyrehaven,0.755025765
1743995.jpeg,26-7-1951,0.348945135,Nivå,0.928508639
1708704.jpeg,MISSING,0.635607760,MISSING,0.617487117
1706889.jpeg,20.VII.2021,0.817705365,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.203385875
1706876.jpeg,26-7-1951,0.819784783,Nivå,0.935043953
1709100.jpeg,Sptbr 1936,0.095850258,Saltholm,0.823943619
1707998.jpeg,MISSING,0.667987269,MISSING,0.277056684
1705428.jpeg,8.9.1883,0.987623522,Husum,0.803446499
1709206.jpeg,10-9-1972,0.566689906,VESTER MØLLE,0.339142164
1728534.jpeg,12-9-61.,0.449648378,Eremitagen,0.535201576
1709216.jpeg,28.9.1913,0.187938769,Dyrehaven,0.470145499
1708873.jpeg,26-10-1972,0.607981206,Marselisborg Dyreh,0.223585935
1706503.jpeg,MISSING,0.839390724,Tiis-Sø,0.456480752
1743737.jpeg,31-7-94,0.209624129,Fugelmosen,0.021585329
1743851.jpeg,10-5-63,0.367659897,Faxe,0.932073356
1744531.jpeg,3/6.1870.,0.341221582,Bo | Stranden ved Byå Rønne,0.104167930
1708379.jpeg,5-4-50.,0.657293119,Sønderskov. Høvelte,0.242597757
1744587.jpeg,Juni 1830.,0.331418612,Sielland,0.823052440
1709154.jpeg,17/9 75,0.036735374,MISSING,0.599366475
1709516.jpeg,MISSING,0.520645650,Kb,0.958511670
1709282.jpeg,MISSING,0.561342831,Kb,0.963264626
1706193.jpeg,7/6 1937 | 7/6 37,0.116941497,Ærø Svendborg Amt,0.076541376
1706063.jpeg,5.6.22,0.898505608,Dyrehaven,0.298444983
1708456.jpeg,14.9.09,0.250024250,Skagen,0.785028797
1709743.jpeg,12/7 86 | 11/4 91,0.064064868,MISSING,0.012970597
1706015.jpeg,13.6.1950,0.171006366,Langå Jyll.,0.046538345
1709762.jpeg,12-4-1952,0.506089724,Haveskov,0.078026675
1705936.jpeg,11.5.49.,0.299039103,Herlev,0.904446802
1709875.jpeg,12/7.1870,0.223882995,Ørholm,0.434795393
1708785.jpeg,MISSING,0.621943013,MISSING,0.612140042
1708985.jpeg,MISSING,0.593722340,MISSING,0.275868445
1708922.jpeg,10.10.1884,0.599663534,Erlev,0.802852380
1705492.jpeg,29/5. 1870,0.310921491,Dyrehaven,0.763640497
1742771.jpeg,MISSING,0.428557139,Kb,0.950491058
1742738.jpeg,MISSING,0.435686572,Dyrehaven,0.707496211
1743872.jpeg,16-4-49,0.363798121,Lillerød,0.429745377
1706173.jpeg,20/6 75,0.294286147,Jydske Ås,0.082482570
1708832.jpeg,MISSING,0.615110640,MISSING,0.607387087
1709088.jpeg,12-9-1914,0.580057593,Vamdrup,0.800178842
1710390.jpeg,7-5-1911,0.220318278,Dyreh,0.062579570
1709962.jpeg,12/7 1939. | 12/7 39,0.091691422,Ærø Svendborg Amt,0.078620794
1708860.jpeg,26.10.72,0.245271294,Marselisb. Sk.,0.328745074
1707002.jpeg,MISSING,0.802258260,MISSING,0.650460746
1709981.jpeg,26-7-1968,0.221803577,kragnos F 18,0.089909063
1742789.jpeg,MISSING,0.425586541,Lolland,0.840578963
1705956.jpeg,16.6.1929,0.913952713,Wellinge skov,0.327853895
1708722.jpeg,20.10.1946,0.632637163,Salten,0.454698393
1706473.jpeg,MISSING,0.844737799,Al,0.901476205
1706887.jpeg,20.VII.2021,0.818299485,"DENMARK: NWJ, Hjelm Hede (east), 56.48N, 8.91E, 20 m",0.136547439
1707564.jpeg,21-6-1956,0.728884510,V.F. Høvblege Møn,0.160906335
1744549.jpeg,MISSING,0.338845105,Kb,0.946926341
1707442.jpeg,3/7 1898,0.743737496,Kulhuse,0.505198545
1744475.jpeg,MISSING,0.344786299,Øbjerggård,0.508763262
1708841.jpeg,19.1.1990,0.612734162,Høgdal v. Them,0.269333131
1707828.jpeg,MISSING,0.695019703,SS | Øbjerggård Næstved,0.149618066
1707826.jpeg,MISSING,0.695316763,SS | Øbjerggård Næstved,0.146350409
1743019.jpeg,27.IV.2022,0.412218854,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.190909366
1728448.jpeg,3/6.1870,0.052182480,Bo | ved Byen Rønne,0.064361928
1706111.jpeg,7/6.1870,0.170412246,Rø Bornholm,0.479354350
1709904.jpeg,MISSING,0.488860261,MISSING,0.273194908
1707832.jpeg,6/62,0.103573810,Kulhuset Jægerspris,0.133873901
1707944.jpeg,6/1870,0.258638982,Dyrehaven,0.732746287
1743917.jpeg,13-7-1963,0.357856926,Nødebohuse Halsnæs,0.252697787
1709806.jpeg,26.9. 1948,0.499554410,Dyrehaven Själl.,0.239330100
1707645.jpeg,MISSING,0.718487420,Møen,0.493613216
1728582.jpeg,10.6.1979,0.442816005,Østrig,0.894049712
1705681.jpeg,3/6.1870,0.161797514,Rønne,0.925538042
1705622.jpeg,14-5-1954,0.962076387,Kulhuse,0.801664141
1706823.jpeg,24.3.1970,0.828993634,Østjylland Klattrup syd f. Vejle,0.215862383
1728460.jpeg,MISSING,0.460639588,Kb,0.952867536
1743573.jpeg,MISSING,0.393207032,SS,0.979305850
1706141.jpeg,MISSING,0.885137921,Bo,0.927914520
1707287.jpeg,22.5.1915,0.768096393,Tg. Ry Nørreskov,0.049508942
1706863.jpeg,19-8-1962,0.822161261,"NØ, KONGELUNDEN 46",0.058717793
1708911.jpeg,5.9.1918,0.601148833,Tg. Bøller,0.024852986
1709416.jpeg,27.IV.2022,0.536983935,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.162391634
1708674.jpeg,13/10-18,0.640063656,Rude Hegn,0.678087299
1744622.jpeg,23/7.1906,0.015347075,Handermølle Strand,0.098523795
1709041.jpeg,9/9.72,0.239924219,Dyrh,0.831370112
